,Human,Bacteria,Virus,Parasite,Fungus,Unclassified
IDBD-D100445,16.344271851459716,79.19675943568205,0.039405031402493663,0.1746345301779097,0.007312486224717851,4.237616665053113
IDBD-D100446,10.329992764945004,78.08709561210472,5.243217261376145,0.1006084069131402,0.0013647260462983312,6.237721228614693
IDBD-D100447,9.358628952075426,83.31952089949951,0.19640935120596956,0.10634229308839642,0.009705203856539106,7.009393300274167
IDBD-D100448,81.58318166638622,11.237195784919546,0.18934569927081515,0.8332805907987175,0.008631766031029076,6.148364492593662
IDBD-D100450,6.80181704739503,88.19873490865228,0.04486411974332628,0.07634381079351062,0.008653376859010208,4.869586736556838
IDBD-D100451,46.47184452759829,48.24606632932288,0.2664920237955036,0.31706390167480997,0.007298778852443928,4.69123443875607
IDBD-D100452,88.76272493509425,5.6700807408127645,0.04913179795827961,0.6726395294350473,0.004947564413372636,4.8404754322862775
IDBD-D100453,56.17973754930718,38.54888313156862,0.04503820345854773,0.3221811835126814,0.005135935482115092,4.89902399667086
IDBD-D100454,76.9023239680769,17.091645891168927,0.010627196737630724,0.683983193418583,0.004957643030145729,5.306462107567817
IDBD-D100455,23.321293645225822,71.1185841457003,0.01645351698333922,0.2970585506472621,0.004733946766022579,5.241876194677253
IDBD-D100456,21.72964676565797,71.47371253475985,0.009944747248308237,0.1518114071091302,0.015104134924698242,6.61978041030003
IDBD-D100457,7.42312092767768,83.06329368524038,0.01802043341339973,0.05492988094479395,0.0009209048434257703,9.439714167880325
IDBD-D100458,21.072350517973057,66.61815866369265,0.030821652474764587,0.14326342245620785,0.0039336196211735095,12.131472123782146
IDBD-D100459,28.75603292774387,63.670501124961206,0.002990198613840902,0.12869976466328747,0.0018385680666183925,7.439937415951174
IDBD-D100460,37.5247380508904,51.06372831458387,0.003932352380886392,0.21148317083659493,0.0021506458101415277,11.193967465498107
IDBD-D100461,79.4530798337932,15.15418987716242,0.0025619360115393466,0.5295473397436518,0.007419946750401692,4.853201066538795
IDBD-D100462,39.527228586687606,49.986545177255074,0.015485534490933144,0.322720276298423,0.0019981334827010506,10.146022291785261
IDBD-D100463,1.298160554345267,91.05009595151502,0.10477176966208546,0.031995741519164476,0.006451522285486289,7.508524460672972
IDBD-D100464,0.9509068646852458,91.77110193027694,0.06051138010939206,0.024421093761842125,0.00591880696099819,7.187139924205587
IDBD-D100465,51.13937890485988,44.19864591103045,0.00282122491646452,0.29320941061641786,0.0019055641979628776,4.364038984378828
IDBD-D100466,2.4614632468417326,91.46760086773628,0.0053492928384051095,0.024700519520763034,0.0011295319539261785,6.039756541108889
IDBD-D100467,63.650156245284805,31.11320733119734,0.012279016721315228,0.5450894859358432,0.004630646136428201,4.674637274724269
IDBD-D100468,33.94844204787638,60.60236249319063,0.018397246731236667,0.2871085474723298,0.0055749232518898986,5.138114741477535
IDBD-D100469,1.9814966856127578,93.04294294871212,0.006840099789455817,0.05966087038580907,0.0029555986744562173,4.906103796825391
IDBD-D100470,71.35662627909318,23.09762188528024,0.005650579833924912,0.4546443544537286,0.006343371231187737,5.0791135301077395
IDBD-D100471,71.36416720066039,24.869752455901878,0.0006757038300019257,0.3721326226430606,0.0034686129940098855,3.389803403970661
IDBD-D100472,88.13544016883407,6.589910794605991,0.008932416749143733,0.7385270103103518,0.004685857966763926,4.522503751533683
IDBD-D100473,79.32356142666072,12.856900235353754,0.0013936153094030383,0.9806034763083539,0.005964673524245004,6.831576572843529
IDBD-D100474,40.05224009367497,53.187651739500566,0.026121638649710257,0.31193152405833163,0.002244455240468706,6.419810548875958
IDBD-D100475,45.498194820695424,46.809806336770116,0.0032014251825166103,0.7134048801747235,0.003130675454726188,6.972261861722487
IDBD-D100476,58.28052110418462,35.756873761175996,0.007168534664229365,0.6013583444622048,0.003547124665460644,5.350531130847486
IDBD-D100477,2.392029335931479,92.29415138321217,0.10890940782292947,0.0456995808133531,0.008971298977077359,5.150238993242991
IDBD-D100478,56.8201476389181,37.52892532654605,0.011301305757741128,0.4432640181503235,0.0033812532051462675,5.192980457422635
IDBD-D100479,12.670477783005639,82.40503670317301,0.00603302371217589,0.07824131035224142,0.0013843482172414931,4.8388268315396905
IDBD-D100480,12.025204726036897,83.56890236581447,0.013267376562685887,0.08138603515416198,0.00180918771309353,4.309430308718695
IDBD-D100481,4.700695899668092,81.11643683899639,0.015118699369936994,0.036060734979747974,0.0006702330389288929,14.131017593946895
IDBD-D100482,9.30624554516442,81.19557937039518,0.041835159442818716,0.08008854153608104,0.006393472568958169,9.369857910892543
IDBD-D100483,85.3104150480869,9.80557740470687,0.001833720183951088,0.5671986063726602,0.004632556254192222,4.310342664395427
IDBD-D100484,53.71676541818895,40.91147079875383,0.004246595571044582,0.30146979676255464,0.004285084352655258,5.061762306370958
IDBD-D100485,14.745859216973006,80.02799312092083,0.0142918852848209,0.09421320952745427,0.0035194150058980803,5.114123152287995
IDBD-D100486,6.71404085980108,88.38266260761573,0.032097689744553196,0.04237599844591972,0.0019528786532596407,4.82686996573946
IDBD-D100487,90.32879904240748,4.9391900262578226,0.005810131297744193,0.48487401813745146,0.0064058208364430776,4.234920961063056
IDBD-D100488,2.552280333443517,91.60657046227396,0.028092557406804622,0.043295341093271496,0.008621218964663096,5.761140086817778
IDBD-D100489,75.3820706562219,19.828553415041128,0.009564261521456494,0.4156615262226301,0.006477468087274047,4.357672672905615
IDBD-D100490,0.3197586367771986,94.38202052962617,0.030577591887872433,0.017651260643815808,0.00470572236967886,5.245286258695263
IDBD-D100491,93.14597141762766,1.7507024075250857,0.0010805065038661775,0.5939340678063244,0.005950615528538369,4.5023609850085204
